Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
63,3.0,0.0,0.0,476.0,3.0,129.0,3624.0,0.1,90.30799999999999,0.0,0.0,869.4832394123077,,,,,,,,,,,,,,,,,,,,,38.65474649027298,26.62624281911142,85.4924370844867,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,681.0,4.0,205.0,3829.0,0.1,135.00799999999998,0.0,0.0,888.8784456253052,,,,,,,,,,,,,,,,,,,,,58.34202736406197,37.32645290928553,123.29434979560885,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,824.0,5.0,143.0,3972.0,0.1,85.50999999999985,0.0,0.0,902.5975773334503,,,,,,,,,,,,,,,,,,,,,27.698035767176602,26.298121960095113,81.71252422121195,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,912.0,6.0,88.0,4060.0,0.1,71.607,0.0,0.0,911.2674016952515,,,,,,,,,,,,,,,,,,,,,29.726764025890965,22.74543015544525,69.12923410469688,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,990.0,7.0,78.0,4138.0,0.1,60.605,0.0,0.0,918.649005651474,,,,,,,,,,,,,,,,,,,,,24.886935769388792,19.05377837152404,58.781322874413654,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,1142.0,8.0,152.0,4290.0,0.1,78.10899999999998,0.0,0.0,933.0479204654694,,,,,,,,,,,,,,,,,,,,,30.05299734443235,22.45531290691256,73.6882472098187,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,1194.0,9.0,52.0,4342.0,0.1,36.10699999999999,0.0,0.0,938.2738146781921,,,,,,,,,,,,,,,,,,,,,13.532132256297498,12.13646861113594,35.474242132695785,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,1320.0,10.0,126.0,4468.0,0.1,85.00600000000001,0.0,0.0,950.3787105083466,,,,,,,,,,,,,,,,,,,,,37.39767402560698,24.06646236525955,80.4547220621758,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,1438.0,11.0,118.0,4586.0,0.1,83.10999999999999,0.0,0.0,961.6486160755157,,,,,,,,,,,,,,,,,,,,,33.98037982725852,26.823841085043078,79.25875342848703,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,1478.0,12.0,40.0,4626.0,0.1,22.30800000000002,0.0,0.0,965.6618778705597,,,,,,,,,,,,,,,,,,,,,7.1341001851727315,7.652970407867017,22.066747420687047,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
